Food Name,Measure,Weight (g),Energy (kcal),Energy (kJ),Protein (g),Carbohydrate (g),Total Sugar (g),Total Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Calcium (mg),Iron (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Phosphorus (mg),Vitamin A (RAE),Folate (DFE),Vitamin C (mg),Vitamin B12 (mcg)
Ice cream cone vanilla chocolate covered with nuts,1,78,222,928,5,23,16,1.9,14,5.4,25,105,0.8,54,208,42,117,68,tr,0.23,4
Ice cream cone vanilla soft serve,1,150,266,1110,7,43,32,0.6,7,4.3,39,232,0.5,116,305,22,154,90,2,0.67,0
Ice cream sandwich,1,59,143,598,3,22,14,0.9,6,3.2,20,60,0.6,36,122,13,63,53,tr,0.18,1
Ice cream chocolate,125 mL,70,151,630,3,20,18,0.8,8,4.7,24,76,0.6,53,174,20,75,82,tr,0.2,2
Ice cream dairy free,125 mL,87,237,990,4,21,N/A,0.8,16,2,0,36,1.2,216,64,19,59,tr,tr,0,0
Ice cream strawberry,125 mL,70,134,560,2,19,N/A,0.6,6,3.6,20,84,0.1,42,131,10,70,67,5,0.21,0
Ice cream vanilla low fat,125 mL,93,117,490,5,20,10,0,2,1.5,11,146,0.1,65,205,13,113,27,1,0.46,0
Ice cream vanilla low fat aspartame sweetened,125 mL,69,106,445,3,15,4,0.5,5,2.8,19,93,0.1,66,135,6,52,1,1,0.36,0
Ice cream vanilla premium,125 mL,113,282,1177,4,25,23,0,18,11.7,104,132,0.4,69,178,12,119,206,0,0.44,0
Ice cream vanilla regular,125 mL,76,153,640,3,18,16,0.5,8,5.2,33,97,0.1,61,151,11,80,90,tr,0.3,0
Popsicles,1,75,54,226,0,14,10,0,0,0,0,0,0,9,3,1,0,0,0,0,0
Sherbet orange,125 mL,78,113,471,1,24,19,2.6,2,0.9,0,42,0.1,36,75,6,31,8,5,0.09,0
Soft serve ice cream with Oreo cookies (Blizzard McFlurry),1 small,275,575,2404,13,89,68,1.9,20,10.5,63,386,4.7,368,564,52,279,148,3,1.12,5
#Desserts Other 
Chocolate mousse homemade,125 mL,90,203,847,4,14,13,0.5,14,8.2,126,86,0.5,34,129,18,105,126,tr,0.42,6
Gelatin dessert calorie-reduced prepared (Jello),125 mL,124,25,104,1,5,0,0,0,0,0,4,tr,59,1,1,84,0,0,0,0
Gelatin dessert prepared (Jello),125 mL,143,88,369,2,20,19,0,0,0,0,4,tr,107,1,1,31,0,0,0,0
#Popcorn
Air-popped,250 mL,8,32,135,1,7,tr,1.3,tr,tr,0,1,0.2,tr,25,11,25,1,2,0,0
Caramel-coated,250 mL,37,160,670,1,29,20,1.9,5,1.3,2,16,0.6,77,41,13,31,1,2,0,tr
Microwave low fat and reduced salt,250 mL,8,34,144,1,6,tr,1.1,1,0.1,0,1,0.2,39,19,12,21,tr,1,0,0
Oil-popped regular and microwaved,250 mL,12,58,243,1,7,tr,1.2,3,0.6,0,1,0.3,103,26,13,29,1,2,tr,0
#Chips
Corn-based puffs or twists cheese (Cheesies),250 mL,37,205,857,3,20,1,0.4,13,2.4,1,21,0.9,388,61,7,40,2,67,tr,0.05
Potato chips made from dried potatoes plain (Pringles),17 chips,28,156,654,2,14,1,1,11,2.6,0,7,0.4,184,282,16,44,0,2,2,0
Potato chips baked plain,1 small bag,43,202,843,2,31,2,2.1,8,1.1,0,54,0.3,394,310,18,118,0,0,0,0
Potato chips flavoured,1 small bag,43,211,883,3,23,N/A,1.9,14,3.5,0,22,0.8,323,542,32,80,5,36,15,0
Potato chips plain,1 small bag,43,230,964,3,21,tr,1.6,15,1.8,0,9,0.7,229,571,30,65,0,20,25,0
Tortilla chips nacho flavoured (Doritos),1 small bag,50,249,1042,4,31,2,2.7,13,2.5,2,74,0.7,354,108,41,122,12,7,1,0
Tortilla chips plain,26 small,47,234,980,3,29,tr,3,12,2.3,0,72,0.7,247,92,41,96,2,5,0,0
Lay's Classic Snack size,1 bag,60,330,1381,4,33,2,3,21,2.5,0,10,1.25,300,750,40,98,0,21,15,0
Lay's Ketchup Chips,1 small bag,28,150,628,2,16,2,1,9,1,0,tr,tr,190,300,tr,tr,tr,tr,tr,tr
#Snacks Other
Banana chips,10 chips,14,73,304,tr,8,5,1.1,5,4.1,0,3,0.2,1,75,11,8,1,2,1,0
Beef jerky (22 cm long),1 stick,20,81,340,7,2,2,0.4,5,2.1,10,4,1.1,438,118,10,81,0,27,0,0.2
Beer nuts,10 nuts,34,186,779,8,10,5,2.2,14,2,0,26,0.6,2,203,54,152,0,37,tr,0
Bits and bites snack bites (Bits & Bites),125 mL,31,132,554,4,21,3,1.9,4,1,1,18,2.6,263,92,24,71,2,37,tr,0.03
Fruit leather bar (Fruit to Go),1 bar,14,49,206,tr,11,N/A,0.5,1,0.6,0,4,0.1,11,19,3,8,1,1,1,0
Pretzels hard plain salted,10 sticks,5,19,80,tr,4,tr,0.2,tr,tr,0,2,0.2,86,7,2,6,0,12,0,0
Pretzels hard plain unsalted,10 sticks,5,19,80,tr,4,tr,0.2,tr,tr,0,2,0.2,15,7,2,6,0,12,0,0
Rice cakes plain,1,9,35,146,1,7,tr,0.4,tr,0.1,0,1,0.1,29,26,12,32,0,2,0,0
Sesame sticks salted,60 mL,14,75,316,2,6,tr,0.4,5,0.9,0,24,0.1,208,25,6,19,0,3,0,0
Soybeans roasted salted,60 mL,44,205,859,15,15,2,7.7,11,1.6,0,60,1.7,71,641,63,158,4,92,1,0
Trail mix regular,60 mL,38,176,735,5,17,N/A,2.5,11,2.1,0,30,1.2,87,261,60,131,tr,27,1,0
Trail mix tropical,60 mL,36,144,604,2,23,N/A,2.4,6,3,0,20,0.9,4,252,34,66,1,15,3,0
#Coffee Tea and Substitutes
Chai latte,250 mL,242,149,624,5,26,26,0,3,2,13,186,0.1,67,263,19,150,88,tr,0,13
Coffee brewed,250 mL,250,3,10,tr,0,0,0,tr,tr,0,5,tr,5,123,8,8,0,0,0,100
Coffee brewed decaffeinated,250 mL,251,3,10,tr,0,0,0,0,0,0,5,0.1,5,135,13,3,0,0,0,3
Coffee instant regular powder + water,250 mL,253,5,20,tr,1,0,0,tr,tr,0,10,0.1,5,76,8,8,0,0,0,66
Coffee latte,250 mL,256,101,420,5,7,9,0,6,3.5,16,188,0.2,79,340,89,156,46,tr,0,193
Coffee substitute powder + water,250 mL,254,13,53,tr,3,tr,0.8,tr,tr,0,8,0.2,8,79,10,18,0,0,0,0
Iced cappuccino - original - with cream (Tim Hortons),250 mL,N/A,211,886,2,28,28,0,9,5,38,80,0.3,42,N/A,N/A,N/A,N/A,0,N/A,N/A
Iced cappuccino - with 2% milk (Tim Hortons),250 mL,N/A,127,533,3,27,27,0,1,1,4,70,0.3,30,N/A,N/A,N/A,N/A,0,N/A,N/A
Iced coffee Frappuccino (Starbucks),250 mL,N/A,127,533,3,26,22,0,2,1,7,110,0,120,N/A,N/A,N/A,N/A,0,N/A,60
Iced tea lemon flavour ready-to-drink,250 mL,254,91,383,0,23,23,0,0,0,0,N/A,N/A,53,N/A,N/A,N/A,0,N/A,0,N/A
Iced tea lemon flavour powder + water,250 mL,274,93,389,tr,23,23,0,tr,tr,0,5,0.1,8,52,5,3,0,tr,0,30
Tea brewed,250 mL,250,3,10,0,1,0,0,tr,tr,0,0,0.1,8,93,8,3,0,0,0,50
Tea brewed herbal,250 mL,250,3,10,0,1,0,0,tr,tr,0,5,0.2,3,23,3,0,0,0,0,0
#Carbonated Drinks Fizzy Soda Pop
Club soda,250 mL,250,0,0,0,0,0,0,0,0,0,13,tr,53,5,3,0,0,0,0,0
Cola,250 mL,262,110,461,tr,28,24,0,0,0,0,8,0.1,10,3,3,34,0,0,0,26
Cola aspartame sweetened,250 mL,250,3,10,tr,tr,0,0,0,0,0,8,0.1,13,15,3,28,0,0,0,35
Cola decaffeinated,250 mL,262,107,448,0,28,28,0,0,0,0,5,0.1,10,8,0,29,0,0,0,0
Ginger ale,250 mL,258,88,366,0,23,22,0,0,0,0,8,0.5,18,3,3,0,0,0,0,0
Lemon-lime soda,250 mL,260,104,433,0,27,23,0,0,0,0,5,0.2,29,3,3,0,0,0,0,0
Non cola soda aspartame sweetened,250 mL,250,0,0,0,tr,0,0,0,0,0,10,0.1,40,5,3,0,0,0,0,0
Orange soda,250 mL,262,126,527,0,32,N/A,0,0,0,0,13,0.2,31,5,3,3,0,0,0,0
Tonic water,250 mL,258,124,520,0,32,32,0,0,0,0,4,tr,15,0,0,0,0,0,0,0
#Fruit Flavoured Drinks
Citrus juice drink frozen diluted (Five Alive),250 mL,262,131,548,tr,32,30,0.3,tr,0,0,13,1.8,5,128,10,10,N/A,38,0,0
Fruit flavour drink low Calorie powder + water (Crystal Light),250 mL,254,3,14,0,1,0,0,tr,0,0,6,tr,6,0,3,2,tr,0,0,0
Fruit punch flavour drink powder (Kool-Aid) + water,250 mL,276,102,427,0,26,N/A,0,tr,tr,0,44,0.1,39,3,3,55,0,0,0,0
Fruit punch flavour drink vitamin C added powder + water,250 mL,277,102,429,0,26,N/A,0,tr,tr,0,44,0.1,39,3,3,55,0,100,0,0
Fruit punch juice drink ready-to-drink (Sunny D),250 mL,262,123,516,0,33,31,0,0,0,0,3,0.1,26,31,N/A,3,0,3,0,0
Lemonade pink or white frozen diluted,250 mL,262,105,440,tr,27,13,0.2,tr,tr,0,8,0.4,6,39,5,5,0,10,0,0
Mixed vegetable and fruit juice drink ready-to-drink (V8 Splash),250 mL,257,113,472,tr,29,5,0.3,tr,0,0,10,0.2,41,62,5,8,N/A,81,0,0
Orange drink vitamin C added (Hi-C) ready-to-drink,250 mL,262,134,558,0,34,29,0,tr,tr,0,16,0.7,42,47,5,3,N/A,94,0,0
Orange drink vitamin C added (Tang Quench Rise'n Shine) powder + water,250 mL,286,135,564,0,34,34,0,0,0,0,140,0.1,11,69,3,63,N/A,88,0,0
#Other Beverages
Sports drink fruit flavour low Calorie ready-to-drink (Gatorade Powerade),250 mL,261,29,120,0,8,0,0,0,0,0,0,0.1,91,26,3,23,0,16,0,0
Sports drink fruit flavour ready-to-drink (Gatorade Powerade),250 mL,258,67,281,0,16,14,0,tr,0,0,3,0.5,101,36,3,23,0,1,N/A,N/A
Water mineral (Perrier),250 mL,250,0,0,0,0,0,0,0,0,0,35,0,3,0,0,0,0,0,0,0
Water municipal,250 mL,250,0,0,0,0,0,0,0,0,0,5,0,5,0,3,0,0,0,0,0
#Alcoholic
Beer de-alcoholized  (Labbat .5),1 can,350,210,878,1,47,28,0,tr,0.1,0,24,0.2,45,28,24,56,0,2,1,0
Beer high alcohol (7%alcohol by volume),1 bottle,342,183,766,1,10,N/A,0.7,0,0,0,17,0.1,17,86,21,41,0,0,20,0
Beer light (4% alcohol by volume),1 bottle,340,99,412,1,5,tr,0,0,0,0,14,0.1,14,71,17,41,0,0,11,0
Beer regular (5% alcohol by volume),1 bottle,342,140,586,1,10,0,0,0,0,0,14,0.1,14,92,21,48,0,0,14,0
Cocktail daiquiri,125 mL,128,237,993,tr,9,7,0.1,tr,tr,0,4,0.1,6,27,3,6,0,2,29,0
Cocktail margarita,125 mL,131,246,1031,tr,6,4,0.1,tr,tr,0,4,0.1,527,23,2,7,tr,2,33,0
Liqueur coffee and cream,45 mL,53,172,719,1,11,10,0,8,5.1,31,8,0.1,48,17,1,26,91,tr,7,4
Sangria,125 mL,123,87,365,tr,12,10,0.1,tr,tr,0,9,0.2,13,80,8,10,1,6,6,0
Spirits (gin rum vodka whisky),50 mL,47,109,456,0,0,0,0,0,0,0,0,tr,1,1,0,2,0,0,16,0
Vodka cooler,1 bottle,390,220,799,tr,33,12,0.3,1,tr,0,20,0.9,12,211,23,19,tr,11,13,0
Wine dessert sweet,125 mL,127,203,848,tr,17,10,0,0,0,0,10,0.3,11,117,11,11,0,0,19,0
Wine table red,125 mL,125,90,375,tr,2,1,0,0,0,0,10,0.5,6,140,16,17,0,0,12,0
Wine table white,125 mL,125,85,354,tr,1,1,0,0,0,0,11,0.4,6,100,12,17,0,0,12,0
Crazy Uncle Hard root beer,473 mL,473,325,1360,0,30,28,0,0,0,0,14,0,25,50,7,25,0,0,0,0
#Condiments
Bacon bits simulated meat,15 mL,7,34,141,2,2,0,2,0.3,0.4,1,0,7,0.1,126,10,7,15,0,0,9
Ketchup,15 mL,15,15,64,tr,4,3,tr,tr,tr,tr,0,3,0.1,169,57,3,5,7,2586,2
Mustard,15 mL,16,11,44,1,1,tr,1,tr,0.4,0.2,0,9,0.2,180,22,8,17,1,0,1
Olives pickled canned or bottled,4,16,23,97,tr,1,tr,2,0.3,1.8,0.2,0,8,0.1,249,7,2,1,3,0,tr
Olives ripe canned jumbo,2,16,13,54,tr,1,0,1,0.1,0.8,0.1,0,15,0.5,144,1,1,tr,3,0,0
Pickle relish sweet,15 mL,15,20,83,tr,5,2,tr,tr,tr,tr,0,tr,0.1,123,4,1,2,1,0,tr
Pickles cucumber dill,1 medium pickle,65,12,49,tr,3,1,tr,tr,tr,0.1,0,6,0.3,833,75,7,14,6,0,1
Pickles cucumber sweet slices,4,28,33,137,tr,9,5,tr,tr,tr,tr,0,1,0.2,263,9,1,3,3,0,tr
Salsa,15 mL,17,5,19,tr,1,1,tr,tr,tr,tr,0,5,0.1,100,50,3,5,3,1758,1
PC Lime Crema,15 mL,15,50,209,0,1,0,0,6,0.5,0,0,0,100,10,tr,tr,tr,tr,tr,tr
PC Baba Ghanouj,2 tbsp,30,35,146,0.8,3.2,1.5,1,2.5,0.4,0,12,0.3,120,90,8,20,2,10,1,0
Herdez Salsa Verde,2 tbsp,31,10,42,0,2,1,0,0,0,0,0,0,230,0,0,0,0,0,0,0
#Dips
Cream cheese dip,30 mL,30,108,451,2,1,tr,11,5.8,3,1.6,28,23,0.3,176,39,2,28,92,0,4
Onion dip,30 mL,31,50,211,1,3,tr,4,2.5,1.2,0.2,11,34,0.1,206,60,4,31,33,0,3
Spinach dip,30 mL,30,74,309,1,2,tr,7,1.6,1.9,3.3,6,26,0.3,84,57,8,17,75,tr,15
#Gravies and Sauces
Gravy beef canned,60 mL,59,31,131,2,3,tr,1,0.7,0.6,tr,2,4,0.4,331,48,1,18,1,0,1
Gravy beef dehydrated prepared with water,60 mL,65,20,85,1,3,0,1,0.2,0.2,tr,tr,9,0.1,271,15,2,11,tr,0,2
Gravy chicken canned,60 mL,60,48,199,1,3,tr,3,0.9,1.5,0.9,1,12,0.3,348,66,1,18,1,0,1
Gravy chicken dehydrated prepared with water,60 mL,66,22,93,1,4,0,1,0.2,0.3,0.1,1,10,0.1,244,24,3,15,2,0,8
Gravy turkey canned,60 mL,61,31,130,2,3,tr,1,0.4,0.6,0.3,1,2,0.4,353,67,1,18,0,0,1
Gravy unspecified dehydrated prepared with water,60 mL,66,22,91,1,4,0,1,0.2,0.2,0.1,tr,11,0.1,362,16,3,13,0,0,3
Sauce barbecue,15 mL,16,12,50,tr,2,4,tr,tr,0.1,0.1,0,3,0.1,129,28,3,3,tr,68,1
Sauce cheese dehydrated prepared with 2% milk,60 mL,71,81,337,5,7,6,4,2.1,1.3,0.4,11,163,0.1,445,158,12,127,45,0,4
Sauce cranberry canned sweetened,60 mL,70,106,443,tr,27,27,tr,tr,tr,tr,0,3,0.2,20,18,2,4,1,0,1
Sauce nacho cheese ready-to-serve,60 mL,64,121,505,5,3,0,10,4.3,3.1,2.1,20,120,0.2,499,20,6,107,66,N/A,3
Sauce soy,15 mL,18,7,30,tr,1,tr,tr,tr,tr,tr,0,1,0.3,1038,28,1,17,0,0,2
Sauce steak (HP A1),15 mL,15,9,39,tr,2,N/A,tr,tr,tr,tr,0,4,0.2,218,60,2,6,7,N/A,1
Sauce sweet and sour,15 mL,17,20,85,tr,4,3,tr,0.1,0.1,0.2,0,3,0.1,59,11,1,2,1,N/A,tr
Sauce teriyaki,15 mL,18,15,64,1,3,2,0,0,0,0,0,5,0.3,700,41,11,28,0,0,4
Sauce white medium homemade with 2% milk,60 mL,61,89,374,2,6,3,6,1.7,2.7,1.7,4,72,0.2,215,95,9,60,55,0,6
